title,current_price,previous_price,discount,link,url_image
"Notebook Samsung Book Celeron Cinza 4gb 256gb Ssd 15,6'' W11 Cor Cinza/Chumbo",1599,3331,52,https://www.mercadolivre.com.br/notebook-samsung-book-celeron-cinza-4gb-256gb-ssd-156-w11-cor-cinzachumbo/p/MLB19692109?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB19692109&position=1&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
 Motorola Moto E22 Dual SIM 128 GB azul 4 GB RAM,749,999,25,https://www.mercadolivre.com.br/motorola-moto-e22-dual-sim-128-gb-azul-4-gb-ram/p/MLB21281336?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB21281336&position=2&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
"Galaxy Tab S7 Fe Lte (wi-fi) 128gb, 6gb Ram, Tela Tft 12.4",2499,4749,47,https://www.mercadolivre.com.br/galaxy-tab-s7-fe-lte-wi-fi-128gb-6gb-ram-tela-tft-124/p/MLB18521901?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB18521901&position=4&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
Loção hidratante Com Ácido Hialurônico Sem Perfume 473ml Cerave,74,109,32,https://www.mercadolivre.com.br/loco-hidratante-com-acido-hialurnico-sem-perfume-473ml-cerave/p/MLB21361292?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB21361292&position=5&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
Tv Smart Philco Led 32 Android Tv Ptv32m8gagcmblh,979,1999,51,https://produto.mercadolivre.com.br/MLB-3483365407-tv-smart-philco-led-32-android-tv-ptv32m8gagcmblh-_JM?hide_psmb=true#position=45&search_layout=grid&type=item&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
"Notebook Samsung Book I5 8gb 256gb Ssd 15,6'' Windows 11 Cinza-chumbo",2575,4999,48,https://www.mercadolivre.com.br/notebook-samsung-book-i5-8gb-256gb-ssd-156-windows-11-cinza-chumbo/p/MLB19692108?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB19692108&position=6&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
Samsung Galaxy A54 5g 256gb 8gb Ram Preto,1959,3399,42,https://www.mercadolivre.com.br/samsung-galaxy-a54-5g-256gb-8gb-ram-preto/p/MLB22770354?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB22770354&position=7&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
Fone de ouvido on-ear sem fio JBL Tune 520BT preto,219,319,31,https://www.mercadolivre.com.br/fone-de-ouvido-on-ear-sem-fio-jbl-tune-520bt-preto/p/MLB23997257?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB23997257&position=8&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
Fogão cooktop gás Itatiaia NG 5 bocas preto 127V/220V,459,518,11,https://www.mercadolivre.com.br/fogo-cooktop-gas-itatiaia-ng-5-bocas-preto-127v220v/p/MLB11841376?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB11841376&position=9&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
Fritadeira Elétrica Gaabor 4l Sem Óleo Air Fry 1400w 110v ,287,479,40,https://www.mercadolivre.com.br/fritadeira-eletrica-gaabor-4l-sem-oleo-air-fry-1400w-110v/p/MLB20999607?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB20999607&position=10&search_layout=grid&type=product&tracking_id=03ecaa3c-5c32-4092-beb1-60b3f5c5cc10&deal_print_id=f8dc3d05-370c-4e98-b350-78d3dca4a4ba&promotion_type=DEAL_OF_THE_DAY,https://http2.mlstatic.com/D_Q_NP_657584-MLU72350107498_102023-W.webp
